User_ID,Age,Gender,Device,Layout_Group,Time_Spent_Seconds,Converted,Purchase_Amount
1,56,Male,Mobile,Test,187,0,0.0
2,46,Male,Desktop,Control,437,0,0.0
3,32,Other,Tablet,Test,303,0,0.0
4,60,Other,Mobile,Control,160,0,0.0
5,25,Male,Mobile,Control,393,0,0.0
6,38,Other,Mobile,Test,317,0,0.0
7,56,Male,Desktop,Test,345,0,0.0
8,36,Male,Mobile,Test,384,0,0.0
9,40,Female,Mobile,Test,17,0,0.0
10,28,Other,Mobile,Test,350,1,65.31
11,28,Male,Mobile,Test,138,0,0.0
12,41,Male,Mobile,Test,361,0,0.0
13,53,Other,Mobile,Control,367,0,0.0
14,57,Female,Desktop,Test,526,0,0.0
15,41,Female,Mobile,Control,504,0,0.0
16,20,Male,Mobile,Test,95,0,0.0
17,39,Other,Mobile,Test,184,0,0.0
18,19,Female,Mobile,Control,202,1,86.63
19,41,Other,Mobile,Test,320,0,0.0
20,61,Other,Mobile,Test,128,0,0.0
21,47,Male,Mobile,Control,227,0,0.0
22,55,Female,Mobile,Test,436,0,0.0
23,19,Male,Mobile,Test,423,0,0.0
24,38,Female,Tablet,Test,123,0,0.0
25,50,Female,Mobile,Control,154,0,0.0
26,29,Female,Desktop,Test,547,0,0.0
27,39,Female,Mobile,Test,312,0,0.0
28,61,Female,Desktop,Test,597,0,0.0
29,42,Other,Desktop,Test,354,0,0.0
30,44,Male,Mobile,Control,10,0,0.0
31,59,Other,Mobile,Control,156,0,0.0
32,45,Female,Mobile,Test,296,0,0.0
33,33,Male,Mobile,Test,62,0,0.0
34,32,Female,Tablet,Control,313,0,0.0
35,64,Male,Desktop,Control,78,1,42.1
36,61,Other,Tablet,Test,370,0,0.0
37,20,Male,Mobile,Control,229,0,0.0
38,54,Male,Desktop,Test,584,0,0.0
39,24,Male,Tablet,Control,594,0,0.0
40,38,Male,Mobile,Control,170,1,73.79
41,26,Male,Mobile,Control,98,1,75.01
42,56,Female,Desktop,Control,594,0,0.0
43,35,Male,Mobile,Test,598,0,0.0
44,21,Male,Desktop,Control,168,0,0.0
45,42,Other,Mobile,Control,498,1,49.94
46,31,Male,Desktop,Test,333,0,0.0
47,26,Other,Mobile,Control,390,0,0.0
48,43,Female,Mobile,Control,111,0,0.0
49,19,Male,Mobile,Test,503,0,0.0
50,37,Other,Desktop,Control,28,0,0.0
51,45,Other,Desktop,Test,463,0,0.0
52,64,Female,Mobile,Test,491,0,0.0
53,24,Male,Mobile,Test,406,0,0.0
54,61,Male,Desktop,Test,288,0,0.0
55,25,Other,Mobile,Control,374,0,0.0
56,64,Male,Desktop,Test,340,0,0.0
57,52,Other,Mobile,Control,353,0,0.0
58,31,Male,Mobile,Control,464,0,0.0
59,34,Other,Mobile,Control,74,0,0.0
60,53,Male,Mobile,Control,85,0,0.0
61,57,Female,Desktop,Control,152,0,0.0
62,21,Male,Mobile,Control,482,0,0.0
63,19,Male,Mobile,Control,426,0,0.0
64,23,Female,Desktop,Control,314,0,0.0
65,59,Male,Mobile,Control,506,0,0.0
66,21,Female,Mobile,Control,300,0,0.0
67,46,Male,Tablet,Test,111,0,0.0
68,35,Other,Desktop,Test,276,0,0.0
69,43,Other,Mobile,Test,12,0,0.0
70,61,Male,Tablet,Control,94,0,0.0
71,51,Male,Desktop,Test,337,0,0.0
72,27,Male,Mobile,Test,459,0,0.0
73,53,Other,Mobile,Test,463,0,0.0
74,31,Male,Desktop,Control,230,0,0.0
75,48,Other,Desktop,Control,163,0,0.0
76,32,Female,Mobile,Control,21,0,0.0
77,25,Other,Desktop,Control,142,0,0.0
78,31,Other,Desktop,Test,313,0,0.0
79,40,Female,Mobile,Test,302,0,0.0
80,57,Other,Mobile,Test,309,0,0.0
81,38,Male,Mobile,Test,52,0,0.0
82,33,Male,Desktop,Control,352,0,0.0
83,62,Other,Mobile,Control,335,1,80.89
84,35,Male,Mobile,Control,507,1,56.25
85,64,Other,Desktop,Test,373,0,0.0
86,41,Male,Desktop,Control,436,0,0.0
87,43,Male,Mobile,Control,30,0,0.0
88,42,Other,Desktop,Test,416,0,0.0
89,62,Male,Mobile,Test,345,0,0.0
90,58,Other,Desktop,Control,126,0,0.0
91,46,Male,Mobile,Control,133,0,0.0
92,32,Male,Mobile,Control,408,0,0.0
93,62,Female,Desktop,Control,60,0,0.0
94,18,Female,Mobile,Control,333,0,0.0
95,42,Other,Mobile,Control,150,0,0.0
96,24,Female,Desktop,Test,479,0,0.0
97,26,Other,Desktop,Test,343,0,0.0
98,41,Female,Desktop,Test,382,0,0.0
99,18,Male,Desktop,Control,573,0,0.0
100,61,Other,Mobile,Test,503,0,0.0
101,25,Other,Mobile,Control,548,0,0.0
102,41,Male,Mobile,Control,165,0,0.0
103,28,Other,Mobile,Test,300,0,0.0
104,34,Other,Tablet,Control,153,1,64.33
105,25,Female,Mobile,Control,115,0,0.0
106,52,Other,Mobile,Test,429,0,0.0
107,52,Male,Mobile,Test,11,1,78.9
108,50,Female,Tablet,Test,598,0,0.0
109,22,Female,Mobile,Control,99,0,0.0
110,59,Male,Mobile,Test,354,0,0.0
111,56,Male,Mobile,Test,359,0,0.0
112,58,Female,Desktop,Control,468,0,0.0
113,45,Other,Mobile,Test,272,0,0.0
114,24,Female,Desktop,Test,360,0,0.0
115,26,Male,Tablet,Test,117,0,0.0
116,25,Female,Mobile,Control,595,0,0.0
117,29,Male,Desktop,Control,48,0,0.0
118,51,Female,Tablet,Control,168,0,0.0
